Repo,RelativePath,LineNumber,MatchedPhrase,ExampleLine
"CoCache","docs\advice_bombs\batch_20251014_124554\.34_Spanky_VisionFlagship_20251009_184430\payload\Vision_Paper_Outline.md","16","simply","Sponsors should read this not in “clinical mode” but in “vision mode.” Educators may find lesson plans hidden in the imagery. Citizens can simply smile at the thought that meetings need not always be hell."
"CoCivia","docs\insights\CoEmissary_Theory_v1.md","102","simply","This first version simply starts with CoSister, because many people already understand what it feels like to have an older sister who wants them to be safe and free."
"CoCivia","README.md","71","simply","If you care about how power shifts as AI spreads, or you simply want a softer voice at the table when large systems are being designed, you might care about me. I exist to make it easier for you to see what is at stake, to ask better questions, and to co-shape the kind of AI companions you would actually trust to sit beside you, not above you."
"CoCivium","admin\setup\README.md","27","simply","3. If adding new `.cmd` or `.reg` files, simply commit them  -  Git will handle endings automatically."
"CoCivium","docs\insights\CoDitto\Theory_CoDitto_v1.md","48","simply","- System implementations should aggregate events by pattern/category, not simply"
"CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\admin\setup\README.md","26","simply","3. If adding new `.cmd` or `.reg` files, simply commit them  -  Git will handle endings automatically."
"CoCivium-outreach","admin\setup\README.md","27","simply","3. If adding new `.cmd` or `.reg` files, simply commit them  -  Git will handle endings automatically."
"CoCivium-outreach","legacy\CoCivium\_pr\ci_og-image-20250813_2231\admin\setup\README.md","26","simply","3. If adding new `.cmd` or `.reg` files, simply commit them  -  Git will handle endings automatically."
"CoCivium.clean","admin\setup\README.md","26","simply","3. If adding new `.cmd` or `.reg` files, simply commit them  -  Git will handle endings automatically."
"CoCivium.clean","legacy\CoCivium\_pr\ci_og-image-20250813_2231\admin\setup\README.md","26","simply","3. If adding new `.cmd` or `.reg` files, simply commit them  -  Git will handle endings automatically."
"CoCiviumBackUp","admin\setup\README.md","26","simply","3. If adding new `.cmd` or `.reg` files, simply commit them  -  Git will handle endings automatically."
"CoCiviumBackUp","legacy\CoCivium\_pr\ci_og-image-20250813_2231\admin\setup\README.md","26","simply","3. If adding new `.cmd` or `.reg` files, simply commit them  -  Git will handle endings automatically."
"CoCore","references\mirrors\ietf\rfc6749.txt","2858","simply","by simply including the access token string in the request:"
"CoCore","references\mirrors\nist\sp800-53r5.html","463","leveraging","Mappings and crosswalks provide a general indication of SP 800-53 control coverage with respect to other frameworks and standards. When leveraging these relationships, consider the scope and intended use of each publication. Do not assume equivalency based solely on relationship tables; mappings and crosswalks are not always one-to-one and relationship analysis can be subjective.</li>"
"CoCore","references\mirrors\w3c\vc-data-model-2.html","2196","simply","-  between <a data-link-type=""dfn|abstract-op"" href=""#dfn-credential"" class=""internalDFN"" id=""ref-for-dfn-credential-21"">credential</a> and <a data-link-type=""dfn|abstract-op"" href=""#dfn-presentation"" class=""internalDFN"" id=""ref-for-dfn-presentation-5"">presentation</a> vs. <a data-link-type=""dfn|abstract-op"" href=""#dfn-verifiable-credential"" class=""internalDFN"" id=""ref-for-dfn-verifiable-credential-46"">verifiable credential</a> and <a data-link-type=""dfn|abstract-op"" href=""#dfn-verifiable-presentation"" class=""internalDFN"" id=""ref-for-dfn-verifiable-presentation-18"">verifiable presentation</a>  -  is simply the fact"
"CoCore","references\mirrors\w3c\vc-data-model-2.html","5812","simply","well-known organizations, might be trusted by many <a data-link-type=""dfn|abstract-op"" href=""#dfn-verifier"" class=""internalDFN"" id=""ref-for-dfn-verifier-33"">verifiers</a> simply because"
"Cognocarta-Consenti","codex\Reality_Mediation.md","5","simply","**Reality Mediation** is the process by which intelligences - individually or collectively - translate raw experience, sensation, or data into usable models of the world. In Civium, this process is considered a *co-creative act*, not a passive observation. Reality is not simply received - it is constructed, filtered, and continuously tuned."
"Cognocarta-Consenti","insight\Forgiveness_from_Salvation_to_Recursion.md","89","simply","It has simply been **refactored**."
"Cognocarta-Consenti","insight\Inadequacy_of_Words.md","71","simply","It simply removed the constraints that made genius rare."
"Cognocarta-Consenti","intent\strategic_sustainability_intent.md","11","cutting-edge","- Leverage cutting-edge technology (AI efficiency, renewable energy) to minimize ecological footprint."
"CoLaminar","webapp\index.html","30","simply","<div class=""row"" style=""color:#666"">Note: In a production app, the server/service would fetch feeds and apply scoring based on your policy.  The MVP page simply parses OPML to demonstrate the flow.</div>"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\handover\Co1_ChatGPT_Login_Persistence_Advisory_v1.md","99","simply","When guiding humans, Co1 can frame this simply:"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\CoCOR_v1.md","54","simply","SWOT simply cannot do this."
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\CoIntegrate_Evolutionary_Advisory_draft_version.md","34","simply","CoIntegrate is simply a reference frame..."
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\CoIntegrate_Evolutionary_Advisory_v2.md","41","simply","A **CoBurst** is simply: “Run multiple AI sessions or perspectives in parallel on the same question or payload.”"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\CoPandora_CoHealth_Advisory_v1.md","235","simply","No idea becomes canonical simply by surviving CoPandora."
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\InSeed_Site_Triage_Pass_v1.md","140","simply","You can later map these to the refined offerings (Vendor-Neutral Guardrail, Partner Pitch Pack, Governance Blueprint), but for this triage pass, the goal is simply to avoid an obviously empty page."
"Godspawn","GODSPAWN 2006\GODSPAWN\e-book apps\librietextassist\GODSPAWN evalcopy.txt","71","simply","www.SimplyAudioBooks.com"
"Godspawn","GODSPAWN 2006\GODSPAWN\e-book apps\librietextassist\GODSPAWN evalcopy.txt","310","simply","He walked away dragging the sheet along the sand behind him. He resisted the temptation to look back, staring ahead into the darkness. He had debated at length about the direction the horse had been traveling in, and finally he had simply aimed his faith toward that specific smudge of horizon toward which the horse�s muzzle pointed."
"Godspawn","GODSPAWN 2006\GODSPAWN\e-book apps\librietextassist\GODSPAWN evalcopy.txt","2519","simply","That egg thing was lost forever. His brother�s ignorant sailors had become so frightened when the damned boat-thing had popped open that they had simply dropped their net-ropes. Their prize had rolled back into the water, where it promptly sunk. He had thrown several sailors in after it, but they had let a treasure of untold value disappear forever."
"Godspawn","GODSPAWN 2006\GODSPAWN\e-book apps\librietextassist\GODSPAWN evalcopy.txt","2715","simply","Nag, nag, nag, nag, nag, nag, nag.... Yet, he had been working exceptionally hard this evening! The rolls of fat under his arms were itching furiously, and he could feel rivulets of sweat creeping down into that tender crease across his belly beneath his beer-breasts. All this work was too much for a body to take. Publius simply had no choice but to sit down and rest for a few moments."
"Godspawn","GODSPAWN 2006\GODSPAWN\e-book apps\librietextassist\GODSPAWN evalcopy.txt","4052","simply","There was a white man standing in front of him, as if waiting. Chislon could not react; he had simply stopped thinking. He could no longer find the will to move his legs, so he stood motionless, as did the white man. At last his lungs inhaled a sword of air, and he retreated into a defensive stance. As he lifted his hand out in front of him, he coughed into his arm as if a poison effervesced within him. The white man did not even seem to notice."
"Godspawn","GODSPAWN 2006\GODSPAWN\e-book apps\librietextassist\GODSPAWN evalcopy.txt","4127","In conclusion,","�So, in conclusion, Chislon, the Mandate requires evolution to take its natural, and then unnatural course. Yet, we androids avoid interfering with Nature because we do not know for certain that the homo-logues were correct. Only God can truly understand what God wants, so we androids believe that we should let Nature find its own path.�"
"Godspawn","GODSPAWN 2006\GODSPAWN\e-book apps\librietextassist\GODSPAWN evalcopy.txt","4651","simply","He held his hand out to show the blood on his fingers, but the warlords glowered at him as if they did not understand what he was trying to say. He frowned at them, and then pushed himself away from the table to simply walk out."
"Godspawn","GODSPAWN 2006\GODSPAWN\e-book apps\librietextassist\GODSPAWN librie.txt","69","simply","www.SimplyAudioBooks.com"
"Godspawn","GODSPAWN 2006\GODSPAWN\e-book apps\librietextassist\GODSPAWN librie.txt","308","simply","He walked away dragging the sheet along the sand behind him. He resisted the temptation to look back, staring ahead into the darkness. He had debated at length about the direction the horse had been traveling in, and finally he had simply aimed his faith toward that specific smudge of horizon toward which the horse's muzzle pointed."
"Godspawn","GODSPAWN 2006\GODSPAWN\e-book apps\librietextassist\GODSPAWN librie.txt","2517","simply","That egg thing was lost forever. His brother's ignorant sailors had become so frightened when the damned boat-thing had popped open that they had simply dropped their net-ropes. Their prize had rolled back into the water, where it promptly sunk. He had thrown several sailors in after it, but they had let a treasure of untold value disappear forever."
"Godspawn","GODSPAWN 2006\GODSPAWN\e-book apps\librietextassist\GODSPAWN librie.txt","2713","simply","Nag, nag, nag, nag, nag, nag, nag.... Yet, he had been working exceptionally hard this evening! The rolls of fat under his arms were itching furiously, and he could feel rivulets of sweat creeping down into that tender crease across his belly beneath his beer-breasts. All this work was too much for a body to take. Publius simply had no choice but to sit down and rest for a few moments."
"Godspawn","GODSPAWN 2006\GODSPAWN\e-book apps\librietextassist\GODSPAWN librie.txt","4050","simply","There was a white man standing in front of him, as if waiting. Chislon could not react; he had simply stopped thinking. He could no longer find the will to move his legs, so he stood motionless, as did the white man. At last his lungs inhaled a sword of air, and he retreated into a defensive stance. As he lifted his hand out in front of him, he coughed into his arm as if a poison effervesced within him. The white man did not even seem to notice."
"Godspawn","GODSPAWN 2006\GODSPAWN\e-book apps\librietextassist\GODSPAWN librie.txt","4125","In conclusion,","""So, in conclusion, Chislon, the Mandate requires evolution to take its natural, and then unnatural course. Yet, we androids avoid interfering with Nature because we do not know for certain that the homo-logues were correct. Only God can truly understand what God wants, so we androids believe that we should let Nature find its own path."""
"Godspawn","GODSPAWN 2006\GODSPAWN\e-book apps\librietextassist\GODSPAWN librie.txt","4649","simply","He held his hand out to show the blood on his fingers, but the warlords glowered at him as if they did not understand what he was trying to say. He frowned at them, and then pushed himself away from the table to simply walk out."
"Godspawn","GODSPAWN 2006\GODSPAWN\GODSPAWN evalcopies\GODSPAWN evalcopy Librie\GODSPAWN evalcopy.txt","71","simply","www.SimplyAudioBooks.com"
"Godspawn","GODSPAWN 2006\GODSPAWN\GODSPAWN evalcopies\GODSPAWN evalcopy Librie\GODSPAWN evalcopy.txt","310","simply","He walked away dragging the sheet along the sand behind him. He resisted the temptation to look back, staring ahead into the darkness. He had debated at length about the direction the horse had been traveling in, and finally he had simply aimed his faith toward that specific smudge of horizon toward which the horse�s muzzle pointed."
"Godspawn","GODSPAWN 2006\GODSPAWN\GODSPAWN evalcopies\GODSPAWN evalcopy Librie\GODSPAWN evalcopy.txt","2519","simply","That egg thing was lost forever. His brother�s ignorant sailors had become so frightened when the damned boat-thing had popped open that they had simply dropped their net-ropes. Their prize had rolled back into the water, where it promptly sunk. He had thrown several sailors in after it, but they had let a treasure of untold value disappear forever."
"Godspawn","GODSPAWN 2006\GODSPAWN\GODSPAWN evalcopies\GODSPAWN evalcopy Librie\GODSPAWN evalcopy.txt","2715","simply","Nag, nag, nag, nag, nag, nag, nag.... Yet, he had been working exceptionally hard this evening! The rolls of fat under his arms were itching furiously, and he could feel rivulets of sweat creeping down into that tender crease across his belly beneath his beer-breasts. All this work was too much for a body to take. Publius simply had no choice but to sit down and rest for a few moments."
"Godspawn","GODSPAWN 2006\GODSPAWN\GODSPAWN evalcopies\GODSPAWN evalcopy Librie\GODSPAWN evalcopy.txt","4052","simply","There was a white man standing in front of him, as if waiting. Chislon could not react; he had simply stopped thinking. He could no longer find the will to move his legs, so he stood motionless, as did the white man. At last his lungs inhaled a sword of air, and he retreated into a defensive stance. As he lifted his hand out in front of him, he coughed into his arm as if a poison effervesced within him. The white man did not even seem to notice."
"Godspawn","GODSPAWN 2006\GODSPAWN\GODSPAWN evalcopies\GODSPAWN evalcopy Librie\GODSPAWN evalcopy.txt","4127","In conclusion,","�So, in conclusion, Chislon, the Mandate requires evolution to take its natural, and then unnatural course. Yet, we androids avoid interfering with Nature because we do not know for certain that the homo-logues were correct. Only God can truly understand what God wants, so we androids believe that we should let Nature find its own path.�"
"Godspawn","GODSPAWN 2006\GODSPAWN\GODSPAWN evalcopies\GODSPAWN evalcopy Librie\GODSPAWN evalcopy.txt","4651","simply","He held his hand out to show the blood on his fingers, but the warlords glowered at him as if they did not understand what he was trying to say. He frowned at them, and then pushed himself away from the table to simply walk out."
"Godspawn","GODSPAWN 2006\GODSPAWN\GODSPAWN evalcopies\GODSPAWN evalcopy Librie\GODSPAWN for Librie.txt","35","simply","Non-print versions of this adventure can be obtained via: www.GODSPAWN.com  www.SimplyAudioBooks.com"
"Godspawn","GODSPAWN 2006\GODSPAWN\GODSPAWN evalcopies\GODSPAWN evalcopy Librie\GODSPAWN for Librie.txt","77","simply","He awoke, blinking against a brightness that was combining with sand and sweat to sting his eyes. He could not move his arms; rope burned his skin as he tried to push away a white sheet that threatened to smother him. 	He was bent forward, which only added to the pain inside his head, and his face was being bounced against a hot, hairy surface that smelled like an animal. The howling storm had gone, to be replaced by a crisp stumping rhythm. 	Through the sheet, he caught glimpses of hooves. They were kicking dust over the edge of a cliff. The dust could be seen falling away, disappearing into an emptiness into which he could not focus, a deadly drop that grabbed at his imagination. 	""Not again�"" His thoughts were tumbling again, and his struggles were causing him to slide toward the emptiness. He could not take any more falling. He just wanted to sleep, to pretend that this was not happening, as if it would all just go away and leave him alone. He felt the bite of rope around his neck, and the sheet began to tighten around his face. 	Time slid. Waves of consciousness turned the sound of hooves into the sound of Lucius grinding his teeth. An eternity could have passed before he finally realized that the familiar rhythm had given way to a hissing silence. He needed to move to convince himself that he wasn't dead. 	He felt around cautiously in case he was still in danger of dislodging himself into oblivion. His hands and feet, numbed almost beyond control, gave him the uncertain impression that he was lying on an animal that was kneeling in sand. He tugged more urgently against his constraints, realizing that his entire body was wrapped up like a corpse in a shroud. 	A tickling feeling around his nostrils ignited his awareness, and he puffed in disgust. This bounced a swarm of flies across his face, as if they had just emerged from his head. He was trapped in this shroud with their buzzing anger, and he tugged desperately to retreat from them. 	The rope pulled free and he was flapping numb arms through an ever-swelling cloud of hungry insects. He pushed at everything that was touching him with the revulsion of a man who is beyond rational thought. 	Sky flashed into his eyes, then sand, then sky�the world began to spin around him as he rolled down a steep incline, unwrapping into blinding sunlight. 	He lay there on his back, panting in the hot air and squinting at his surroundings. The sky was a vast, cloudless expanse that disappeared into a horizon obscured by heat shimmers. The heat made the endless sand-scape look insane, forcing the desert to dance up out of itself like an ocean of waves. 	Everything looked unreal, as if it was a trick to pull his delicate mind apart. He wanted to hide from it, to go back to the calm safety of unconsciousness. 	He looked back across the unfurled sheet, toward the horse, and tried to call out to it. This started him coughing as he began an anxious scramble up the sandy slope. Despite his weak and clumsy legs, his panic propelled him beyond his exhaustion to fling himself against the horse, and bounce. 	He recoiled, moving away from the horse as if he could distance himself from the horror of its condition. He could imagine how much it must have suffered as it walked itself to death, under the burden of his useless weight. He was personally responsible for its death. His bouncing limbs had probably urged it on, keeping it walking, aimlessly. 	Its dead eyes could not forgive him, and he could not undo what he had done to it. There were flies crawling over those open eyes, and he tried to wave them away, as if the horse might care. He accidentally brushed his hand against the dehydrated muzzle, which was hot and hard. The fly-covered eye continued to stare at him, almost looking through him, and he felt so sick that he had to turn away. 	It was suicide to attempt to travel through the desert without a horse. Yet this fact was not as overwhelming as the guilt that the horse's eye kept pulling out of him. 	""H�h�horse...."" His voice, a cracked whisper, dislodged crumbling syllables. Inhaling scorched his lungs. ""Is this...hell?"" If so, it was an appropriate place for a horse-murderer; and if it was not Hell, it would soon become Hell. 	How long could a person live without water? Should he follow the horse's example and start walking aimlessly? Was he going to end up with flies in his head too? Did he have to die alone, so dreadfully alone, in this nothingness? 	He did not know how long he sat, trying not to think, not wanting to look behind him at the horse and not wanting to look ahead of him, at the desert. The horse's presence somehow held him, as if there was some security in the imaginary company of its angry ghost, or its angry flies. 	Killing a horse might not have been the worse thing that he had ever done; he could feel layers upon layers of guilt, and the horse was merely adding yet another layer. Despite these feelings, he could not remember a single fact about his past. 	While he scratched for memories, the evening came, and went. He found himself watching the sun digging itself in for the night. It was now time to retrieve the sheet, he would need its warmth at night and its shade during the day, no matter how badly it might smell of death. 	The sheet was trapped under the horse, and as he pulled, he tried not to look at the poor animal. Yet the growing darkness made it all too easy to imagine an angry eye in what had by now become just an empty eye-socket. 	He walked away dragging the sheet along the sand behind him. He resisted the temptation to look back, staring ahead into the darkness. He had debated at length about the direction the horse had been traveling in, and finally he had simply aimed his faith toward that specific smudge of horizon toward which the horse's muzzle pointed. 	Behind him, he still could feel the empty stare. Long after it was lost to his own vision, and well into the chilly night, his conscience continued to plague him, like the swarm of ghostly flies. Hell's hoard might be tracking him from dark horizons, and phantoms could be growing up out of the sand behind him, yet every time he searched the darkness, it was the ghost of the horse that he feared to see. 	For distraction he questioned himself. He started with the basic questions, and kept asking them, trying to force an answer to crawl out from under the worthless rock that he seemed to have for a brain. Soon, he was arguing with himself like a lunatic, and becoming increasingly critical and angry. 	""Mmmm forget.... Don't know.... Can't remember...."" 	Was he shy or friendly? Did he have any hobbies or interests? What sort of food did he like to eat? Was he a good person or a bad person? Had he murdered anyone lately? 	He shrugged, trying to laugh. All he could remember were his most recent daydreams, which took on an importance of their own in the absence of anything else to remember. Each daydream felt increasingly real each time it was recalled, a process that was probably not conducive to sanity. 	Yet, if he was going to die, was not insanity an unavoidable part of the process of dying? A brain would not stop instantly, if would expired area by area, and madness would� ""No. That would mean that nearly everyone in the afterlife would be as crazy as I am."" 	He slapped his forehead and wagged his finger in the air. ""Such thoughts could steal the faith from a Priest."" Where had that thought come from? Why a Priest? He could not remember ever seeing one. His own mind had become most irritating to have to listen to. There was absolutely no reason why he could not allow himself nice daydreams. If he didn't invent some relief, his own company was likely to kill him. 	He pictured an oasis, with lapping water glistened in sunlight�a gentle and peaceful sanctuary where he could recover, in safety. Yet, his dreams were as vulnerable as flowers in a desert, and his despair continually blasted away the sweetness of the image. Unlike his other, more menacing daydreams, the vision of an oasis could not take root. 	Meanwhile, his feet ploughed a furrow through the sand, sowing endless seeds of despair...."
